,p_before,p_chamber_pressure_predischarge,t_cd_discharge_request,U_Bt_final,U_CD_final,b_plasma
41811,0.99,10.60,"350
",1205,479,1.000
41812,0.99,10.80,"350
",1203,478,1.000
41813,0.96,8.98,"350
",1205,472,1.000
41814,0.96,0.96,"350
",1201,458,0.000
41815,0.96,9.09,"350
",1212,472,1.000
41816,0.96,9.62,"350
",1206,484,1.000
41817,0.97,10.40,"350
",1204,452,1.000
41818,0.96,11.30,"350
",1210,469,1.000
41819,0.97,12.40,"350
",1212,476,0.000
41820,1.50,1.54,"1000
",817,529,0.000
41821,1.47,5.68,"1000
",807,524,1.000
41822,1.20,1.20,"
",0,0,
41823,1.19,8.45,"1000
",809,526,1.000
41824,1.48,14.10,"1000
",800,519,0.000
41825,1.44,3.94,"350
",1213,451,1.000
41826,1.30,6.25,"350
",1201,467,0.000
41827,1.23,16.90,"350
",1200,472,1.000
41828,1.20,1.34,"350
",1214,469,0.000
41829,1.14,15.10,"350
",1211,476,1.000
41830,1.10,8.07,"350
",1212,458,0.000
41831,1.09,8.51,"0
",1215,414,1.000
41832,1.07,8.89,"0
",1213,416,1.000
41833,1.06,6.34,"0
",1214,432,1.000
41834,1.00,21.70,"0
",1014,454,1.000
41835,1.01,18.60,"0
",1016,481,1.000
41836,0.99,21.10,"0
",1019,459,1.000
41837,0.95,16.30,"0
",1004,465,1.000
41838,0.94,0.93,"0
",1005,465,1.000
41839,0.94,14.50,"0
",1004,464,1.000
41840,0.93,10.70,"0
",1010,477,1.000
41841,0.87,11.20,"0
",1008,450,0.000
41842,0.92,10.30,"0
",1018,461,1.000
41843,0.90,8.93,"0
",1005,478,1.000
41844,0.91,8.98,"0
",1022,467,1.000
41845,0.91,8.99,"0
",1004,473,1.000
41846,0.91,9.17,"0
",1005,477,1.000
41847,1.30,7.64,"350
",1214,480,1.000
41848,1.30,13.40,"350
",1019,482,1.000
41849,1.19,14.30,"350
",1001,452,1.000
41850,1.16,16.70,"350
",1019,453,1.000
41851,1.11,19.40,"350
",1015,474,0.000
41852,1.09,21.50,"350
",1020,480,1.000
41853,1.04,22.70,"350
",1018,476,1.000
41854,1.03,15.50,"350
",1015,472,0.000
41855,1.02,16.30,"350
",1010,462,1.000
41856,1.01,16.10,"350
",1215,468,1.000
41857,1.01,16.30,"350
",1206,482,0.000
41858,1.00,17.80,"350
",1213,477,1.000
41859,0.99,18.50,"350
",1208,454,1.000
41860,0.98,18.50,"350
",1200,474,1.000
41861,0.94,17.50,"350
",1213,472,1.000
41862,0.96,13.10,"350
",1213,469,0.000
41863,0.96,8.82,"0
",1011,463,1.000
41864,0.98,12.60,"0
",1008,459,0.000
41865,0.99,14.90,"0
",1009,467,1.000
41866,0.99,0.99,"0
",1018,479,0.000
41867,0.98,0.98,"0
",1005,454,0.000
41868,0.98,15.40,"0
",1001,481,1.000
41869,0.98,14.90,"0
",1010,483,0.000
41870,0.94,8.07,"0
",1015,466,0.000
41871,0.95,4.50,"0
",613,417,0.000
41872,0.94,4.47,"600
",1009,500,0.000
41873,0.94,9.83,"600
",1002,525,1.000
41874,0.93,13.10,"1000
",807,606,1.000
41875,0.93,17.80,"1000
",1006,610,1.000
41876,0.93,14.10,"1000
",1200,615,1.000
41877,0.93,3.74,"5000
",1207,619,0.000
41878,0.94,33.00,"5000
",1211,629,0.000
41879,0.95,15.70,"2000
",1210,704,1.000
41880,0.96,29.50,"2000
",1209,702,1.000
41881,0.95,32.70,"2000
",1207,705,1.000
41882,0.95,49.90,"2000
",1202,724,1.000
41883,0.96,66.40,"2000
",1204,715,1.000
41884,2.17,5.25,"1000
",829,523,1.000
41885,2.15,4.98,"1000
",828,518,1.000
41886,1.02,5.43,"500
",808,462,1.000
41887,1.01,9.14,"500
",813,467,1.000
41888,1.00,13.70,"500
",801,451,1.000
41889,1.00,16.00,"500
",818,480,1.000
41890,1.58,19.20,"500
",803,482,1.000
41891,1.17,20.20,"500
",809,461,1.000
41892,1.07,9.88,"1000
",1304,713,1.000
41893,1.00,10.90,"1000
",1302,715,1.000
41894,0.96,11.70,"1000
",1300,715,0.000
41895,0.93,10.20,"1000
",1306,722,1.000
41896,0.91,8.95,"1000
",1303,718,
41897,0.92,9.38,"1000
",1300,708,1.000
41898,0.91,9.72,"1000
",1302,701,1.000
41899,0.91,10.20,"1000
",1303,722,1.000
41900,0.91,10.60,"1000
",1307,708,1.000
41901,0.90,10.40,"1000
",1300,723,1.000
41902,0.90,9.90,"1000
",1305,705,1.000
41903,0.89,9.16,"1000
",1304,700,1.000
41904,0.89,8.84,"1000
",1300,721,1.000
41905,0.89,8.01,"1000
",1300,720,1.000
41906,0.89,0.89,"1000
",822,520,0.000
41907,0.89,22.10,"1000
",814,505,1.000
41908,2.45,17.60,"500
",819,473,1.000
41909,1.89,8.83,"1000
",1300,710,1.000
41910,1.64,9.02,"1000
",1300,704,1.000
41911,1.45,10.30,"1000
",1300,709,1.000
41912,1.36,11.20,"1000
",1300,702,1.000
41913,1.29,12.20,"1000
",1300,710,1.000
41914,1.22,11.40,"1000
",1302,716,1.000
41915,2.16,4.18,"1000
",816,527,0.000
41916,1.89,6.68,"1000
",821,507,1.000
41917,1.67,7.20,"0
",601,403,1.000
41918,1.19,6.77,"1600
",910,503,0.000
41919,1.16,16.70,"0
",911,511,1.000
41920,1.05,9.33,"20000
",911,426,0.000
41921,0.96,3.68,"0
",610,413,0.000
41922,0.96,3.89,"0
",601,402,0.000
41923,0.96,4.15,"0
",621,426,0.000
41924,0.95,18.60,"0
",609,413,1.000
41925,0.96,0.96,"0
",1012,502,1.000
41926,0.92,5.29,"0
",1016,507,1.000
41927,0.92,5.10,"0
",1002,519,1.000
41928,0.93,9.28,"0
",1018,513,1.000
41929,0.92,5.25,"0
",859,519,1.000
41930,0.92,5.23,"0
",812,619,1.000
41931,0.92,11.50,"0
",801,627,1.000
41932,0.90,14.10,"0
",815,620,1.000
41933,0.91,14.10,"0
",813,619,1.000
41934,0.91,15.10,"0
",823,626,1.000
41935,0.92,31.40,"0
",922,571,1.000
41936,0.92,11.80,"0
",1011,459,1.000
41937,0.91,17.70,"0
",1006,456,1.000
41938,0.91,17.80,"0
",1010,415,1.000
41939,0.92,17.80,"0
",1022,477,0.000
41940,0.91,19.30,"0
",1015,472,1.000
41941,0.91,20.90,"0
",1018,471,1.000
41942,0.91,19.60,"0
",1003,476,0.000
41943,0.91,18.60,"0
",1009,485,1.000
41944,0.91,18.30,"0
",1016,428,1.000
41945,0.90,16.00,"0
",1013,466,1.000
41946,0.90,16.20,"0
",1000,479,1.000
41947,0.90,17.50,"0
",1007,484,0.000
41948,0.89,18.70,"0
",1012,465,1.000
41949,0.90,16.90,"0
",1005,482,1.000
41950,0.90,16.50,"0
",1016,0,0.000
41951,0.91,18.70,"0
",1014,465,1.000
41952,12.20,31.40,"0
",609,412,0.000
41953,1.25,40.00,"500
",920,567,0.000
41954,2.51,33.70,"1000
",820,515,0.000
41955,1.44,30.20,"1000
",821,509,0.000
41956,1.14,22.00,"1000
",819,508,0.000
41957,1.13,17.40,"1000
",1216,619,0.000
41958,1.55,5.24,"0
",1006,453,1.000
41959,1.40,10.60,"0
",1012,459,1.000
41960,1.31,12.40,"0
",1004,452,1.000
41961,1.24,14.30,"0
",1003,452,1.000
41962,1.08,10.80,"0
",1004,483,1.000
41963,1.08,1.08,"0
",1012,471,0.000
41964,1.08,13.40,"0
",1014,479,1.000
41966,1.05,15.70,"0
",250,250,1.000
41967,1.03,15.50,"0
",1003,531,1.000
41968,1.03,14.50,"0
",1005,501,1.000
41969,1.02,13.40,"0
",1015,522,1.000
41970,1.01,12.20,"0
",1003,503,1.000
41971,1.00,14.10,"0
",1018,525,1.000
41972,1.00,25.80,"0
",907,502,1.000
41973,1.00,6.14,"1000
",806,320,0.000
41974,0.99,24.50,"0
",1211,452,1.000
41975,0.97,23.40,"0
",1010,507,1.000
41976,0.97,15.30,"0
",917,480,1.000
41977,0.97,17.20,"0
",912,516,1.000
41978,0.96,20.70,"0
",1020,557,1.000
41979,0.96,37.90,"0
",911,516,1.000
41980,0.95,20.30,"0
",1008,461,1.000
41981,0.94,19.30,"0
",1001,605,1.000
41982,0.94,18.50,"0
",1004,411,1.000
41983,0.94,13.50,"500
",904,418,1.000
41984,0.93,19.00,"0
",1203,357,1.000
41985,0.93,12.40,"500
",921,174,0.000
41986,0.92,11.70,"500
",914,206,0.000
41987,0.92,11.00,"500
",910,253,0.000
41988,0.92,10.40,"500
",915,316,1.000
41989,0.93,19.80,"500
",922,386,1.000
41990,0.92,9.77,"500
",912,352,1.000
41991,0.92,9.43,"500
",908,384,1.000
41992,0.92,9.07,"500
",910,350,1.000
41993,0.92,9.06,"500
",922,363,1.000
41994,0.91,9.03,"500
",900,386,1.000
41995,0.91,8.95,"500
",906,381,1.000
41996,0.91,8.95,"500
",909,350,1.000
41997,0.91,8.90,"500
",918,359,1.000
41998,0.91,8.88,"500
",913,357,1.000
41999,0.90,8.89,"500
",920,363,1.000
42000,0.90,8.88,"500
",905,382,1.000
42001,0.90,9.05,"2000
",1009,531,0.000
42002,0.89,8.93,"500
",919,370,1.000
42003,0.89,9.01,"500
",912,351,1.000
42004,0.89,8.96,"500
",906,380,1.000
42005,0.89,8.97,"500
",918,358,1.000
42006,0.89,8.93,"500
",914,353,1.000
42007,0.89,10.80,"0
",1006,678,1.000
42008,0.89,11.20,"0
",1011,719,1.000
42009,0.89,11.40,"0
",1001,364,1.000
42010,0.88,11.60,"9000
",1011,377,0.000
42011,0.88,11.80,"9000
",1009,652,0.000
42012,0.87,11.80,"9000
",1009,717,0.000
42013,0.87,31.10,"0
",907,470,1.000
42014,0.87,21.80,"0
",903,460,1.000
42015,0.87,5.85,"10000
",100,464,1.000
42016,0.86,4.98,"10000
",510,473,0.000
42017,0.86,4.65,"10000
",821,476,0.000
42018,0.87,4.56,"10000
",1001,453,0.000
42019,0.87,4.48,"10000
",821,386,0.000
42020,0.87,4.40,"2000
",1018,320,0.000
42021,0.87,4.32,"2000
",1021,354,0.000
42022,0.87,4.40,"2000
",1000,401,0.000
42023,0.87,4.52,"2000
",1009,468,0.000
42024,0.87,4.52,"2000
",1003,527,0.000
42025,0.87,4.55,"2000
",1001,570,0.000
42026,0.87,4.30,"2000
",1016,624,0.000
42027,0.87,4.55,"2000
",1003,675,0.000
42028,0.87,2.36,"2000
",1001,607,0.000
42029,0.87,9.72,"2000
",518,518,1.000
42030,0.88,0.88,"0
",902,505,0.000
42031,0.88,2.54,"2000
",1009,723,0.000
42032,0.88,2.49,"0
",911,529,0.000
42033,0.88,3.24,"0
",906,509,0.000
42034,0.88,10.00,"2000
",517,819,1.000
42035,4.64,4.26,"1000
",804,526,0.000
42036,3.61,3.57,"1000
",813,506,0.000
42037,3.07,21.70,"1000
",816,509,0.000
42038,1.79,12.80,"1000
",825,521,1.000
42039,1.29,7.25,"1000
",817,512,1.000
42040,1.15,2.15,"350
",810,452,1.000
42041,1.10,9.81,"350
",812,463,1.000
42042,1.01,10.50,"350
",808,451,1.000
42043,0.99,0.99,"1000
",1010,502,0.000
42044,0.98,11.40,"1000
",1013,513,1.000
42045,0.97,97.70,"1000
",1012,509,0.000
42046,0.95,25.20,"1000
",1017,510,1.000
42047,0.95,20.80,"1000
",1009,531,1.000
42048,0.94,18.70,"1000
",1019,512,1.000
42049,0.94,18.30,"1000
",1009,501,1.000
42050,0.90,16.70,"1000
",1000,516,1.000
42051,0.90,0.90,"2000
",500,835,0.000
42052,0.90,0.90,"500
",801,521,0.000
42053,0.90,11.50,"500
",804,527,1.000
42054,0.90,11.80,"500
",819,504,1.000
42055,0.90,12.20,"500
",825,512,1.000
42056,0.90,13.00,"500
",815,505,1.000
42057,0.89,13.40,"500
",801,521,1.000
42058,0.89,14.00,"500
",802,520,1.000
42059,0.88,14.20,"500
",815,530,1.000
42060,0.88,14.50,"500
",814,502,1.000
42061,0.88,15.10,"500
",815,532,1.000
42062,0.88,14.60,"500
",817,505,1.000
42063,0.87,0.87,"500
",816,382,0.000
42064,0.87,11.70,"500
",820,379,1.000
42065,0.87,11.80,"500
",813,375,1.000
42066,0.87,11.50,"0
",802,351,1.000
42067,0.87,12.70,"-500
",812,363,1.000
42068,0.86,12.90,"0
",805,356,1.000
42069,0.85,8.85,"0
",816,370,1.000
42070,0.86,10.50,"0
",804,383,1.000
42071,0.86,12.80,"0
",829,383,1.000
42072,0.86,12.60,"0
",809,357,1.000
42073,0.85,12.10,"1500
",818,368,0.000
42074,0.85,12.60,"1000
",824,375,1.000
42075,0.85,12.90,"1500
",808,357,1.000
42076,1.90,5.81,"350
",806,450,1.000
42077,1.66,12.10,"350
",807,452,1.000
42078,1.59,14.00,"1000
",822,514,1.000
42079,1.24,1.22,"1000
",1016,516,0.000
42080,1.19,1.18,"1000
",1007,504,0.000
42081,1.12,9.69,"500
",818,353,1.000
42082,1.10,1.09,"500
",826,353,0.000
42083,1.07,10.60,"500
",815,382,1.000
42084,0.99,11.00,"500
",804,361,1.000
42085,0.96,11.60,"500
",803,384,1.000
42086,0.96,12.60,"500
",827,355,1.000
42087,0.95,13.70,"500
",801,359,1.000
42088,0.94,14.80,"2500
",824,357,0.000
42089,0.93,15.70,"1500
",821,351,0.000
42090,0.92,11.10,"1000
",813,376,1.000
42091,0.92,10.10,"1000
",812,376,1.000
42092,0.91,9.60,"1000
",815,381,1.000
42093,0.89,9.34,"1000
",1005,380,0.000
42094,,9.41,"1500
",814,382,0.000
42095,0.88,10.00,"1000
",1008,508,1.000
42096,0.88,10.20,"2000
",1019,526,0.000
42097,0.87,10.50,"1500
",1001,532,1.000
42098,0.87,10.40,"1500
",1009,621,1.000
42099,0.86,10.40,"2000
",1003,715,1.000
42100,0.86,10.70,"3000
",1003,716,0.000
42101,0.86,11.00,"3000
",1000,714,0.000
42102,0.85,14.20,"2000
",1020,711,1.000
42103,0.85,8.25,"2000
",1015,719,1.000
42104,0.85,19.80,"1000
",1014,516,1.000
42105,0.85,20.00,"1000
",1004,376,1.000
42106,0.84,21.10,"1000
",1107,816,1.000
42107,0.84,21.40,"1500
",1105,819,1.000
42108,0.83,21.20,"2000
",1115,802,1.000
42109,0.83,21.10,"2500
",1100,810,1.000
42110,0.82,20.40,"3000
",1112,802,1.000
42111,0.82,20.20,"3500
",1115,805,1.000
42112,0.82,20.50,"4500
",1116,804,0.000
42113,0.81,20.90,"4000
",1111,814,1.000
42114,0.81,20.00,"4000
",1102,812,1.000
42115,0.81,20.20,"4000
",1116,803,1.000
42116,1.01,3.34,"0
",808,450,1.000
42117,0.94,14.10,"0
",822,469,1.000
42118,0.92,5.64,"0
",824,472,1.000
42119,0.86,5.96,"0
",813,456,1.000
42120,0.88,6.51,"0
",814,462,1.000
42121,0.87,7.55,"0
",910,464,1.000
42122,0.91,14.20,"0
",806,450,1.000
42123,0.91,0.91,"2000
",1208,714,0.000
42124,0.91,94.90,"2000
",1206,709,0.000
42125,0.90,85.20,"2000
",1206,706,0.000
42126,0.89,57.60,"2000
",1203,711,1.000
42127,0.89,68.80,"2000
",1213,715,1.000
42128,0.88,65.50,"2000
",1204,708,1.000
42129,0.88,64.70,"1500
",1214,725,1.000
42130,0.87,68.00,"2000
",1206,716,1.000
42131,0.87,64.10,"2000
",1204,707,1.000
42132,0.87,63.70,"2500
",1203,713,1.000
42133,0.86,73.60,"2500
",1209,716,1.000
42134,0.85,85.10,"2500
",1209,720,1.000
42136,0.82,62.90,"2500
",1209,715,1.000
42137,0.82,62.20,"2500
",1215,707,1.000
42138,0.82,83.50,"2500
",1213,701,1.000
42139,0.83,55.10,"2000
",1202,711,1.000
42140,0.82,69.60,"3000
",1207,713,1.000
42141,0.82,65.50,"4000
",1204,716,1.000
42142,0.82,64.20,"5000
",1213,724,0.000
42143,0.82,62.40,"6000
",1202,712,1.000
42144,0.81,61.20,"7000
",1200,708,0.000
42145,0.87,47.70,"2000
",1204,716,1.000
42146,0.86,66.90,"7000
",1214,706,0.000
42147,0.85,55.20,"5000
",1202,708,1.000
42148,0.85,56.60,"7000
",1212,627,0.000
42149,0.84,65.30,"7000
",1208,618,0.000
42150,0.83,,"5000
",1210,608,0.000
42151,0.83,61.60,"5000
",1105,626,0.000
42152,2.34,55.00,"2000
",1204,711,1.000
42153,2.62,67.60,"5000
",1209,713,0.000
42154,2.22,53.70,"5000
",1214,725,0.000
42155,2.03,62.40,"4000
",1202,710,1.000
42156,1.73,60.00,"3500
",1201,716,1.000
42157,1.41,54.70,"1500
",1203,711,1.000
42158,1.28,54.70,"500
",812,382,1.000
42159,1.19,16.10,"500
",800,364,1.000
42160,1.11,48.50,"5000
",1215,708,0.000
42161,1.04,44.30,"5000
",1205,711,1.000
42162,1.00,58.30,"5000
",1207,713,0.000
42163,0.96,69.60,"5000
",1213,702,0.000
42164,0.94,65.70,"5000
",1202,711,0.000
42165,0.92,19.40,"500
",820,354,1.000
42166,0.91,61.80,"5000
",1211,700,0.000
42167,0.91,69.00,"6000
",1209,723,1.000
42168,0.86,10.40,"500
",811,378,1.000
42169,1.09,1.07,"1000
",814,525,0.000
42170,0.98,7.87,"1000
",826,515,1.000
42171,0.83,0.83,"
",0,0,
42172,0.82,2.83,"1000
",824,513,0.000
42173,0.83,9.89,"1000
",817,503,1.000
42174,0.81,13.80,"500
",908,502,1.000
42175,0.82,15.90,"0
",1012,533,1.000
42177,0.81,21.10,"500
",917,515,1.000
42178,0.79,41.90,"500
",1201,413,0.000
42179,0.80,45.80,"500
",1210,460,0.000
42180,0.80,37.70,"500
",1212,511,1.000
42181,0.80,46.10,"500
",1200,519,1.000
42182,0.80,47.70,"500
",1213,509,1.000
42183,0.80,46.00,"500
",1209,525,1.000
42184,0.79,44.10,"500
",1206,527,1.000
42185,0.79,44.10,"500
",1210,527,1.000
42186,0.79,45.30,"500
",1210,525,0.000
42187,1.17,2.04,"1000
",805,526,0.000
42188,1.05,3.58,"1000
",911,508,0.000
42189,0.99,13.50,"1000
",913,515,1.000
42190,0.85,10.10,"350
",813,461,1.000
42191,0.86,27.80,"350
",1212,467,1.000
42192,0.85,38.50,"500
",1205,501,1.000
42193,0.84,64.80,"500
",1202,522,1.000
42194,0.99,2.21,"1000
",827,519,0.000
42195,0.96,6.87,"1000
",831,524,1.000
42196,0.83,9.24,"1000
",811,529,1.000
42197,1.10,12.20,"350
",813,456,1.000
42198,0.98,31.10,"500
",1210,523,1.000
42199,0.96,45.30,"2000
",1209,515,1.000
42200,0.94,51.40,"4000
",1207,509,1.000
42201,0.93,48.20,"4000
",1209,509,1.000
42202,0.92,62.50,"6000
",1204,527,0.000
42203,0.91,53.30,"8000
",1212,522,1.000
42204,0.90,59.80,"8000
",1209,520,0.000
42205,0.88,29.90,"8000
",1206,512,0.000
42206,0.87,20.00,"8000
",1214,503,0.000
42207,0.86,21.90,"8000
",1208,524,0.000
42208,0.84,21.00,"0
",1205,509,1.000
42209,0.84,20.00,"0
",1211,527,1.000
42210,0.84,19.20,"0
",1206,522,1.000
42211,0.85,17.80,"0
",1206,525,1.000
42212,0.84,17.90,"5000
",1207,521,0.000
42213,0.99,8.43,"500
",800,480,1.000
42214,0.98,6.32,"500
",812,468,1.000
42215,0.96,16.20,"1000
",1307,721,1.000
42216,0.96,19.30,"1000
",1300,717,1.000
42217,0.93,21.10,"1000
",1300,716,1.000
42218,0.94,19.00,"1000
",1304,705,1.000
42219,0.94,11.70,"1000
",1300,701,1.000
42220,0.93,15.20,"1000
",1306,709,1.000
42221,0.93,17.80,"1000
",1304,523,1.000
42222,0.92,14.30,"100
",1300,511,1.000
42223,0.92,14.10,"1000
",1301,715,1.000
42224,0.91,13.30,"1000
",1300,728,1.000
42225,0.91,13.10,"1000
",1301,722,1.000
42226,0.90,9.71,"1000
",1300,717,1.000
42227,0.90,9.20,"1000
",1301,715,1.000
42228,0.90,8.46,"0
",1301,478,1.000
42229,0.90,8.65,"0
",1301,479,1.000
42230,0.89,8.57,"0
",1304,460,1.000
42231,0.89,8.11,"1200
",1305,98,0.000
42232,0.88,7.83,"1200
",1300,701,1.000
42233,0.88,7.06,"1200
",1306,716,1.000
42234,0.87,6.35,"1500
",1301,706,1.000
42235,2.50,10.40,"1000
",1303,714,1.000
42236,2.14,14.80,"1000
",1303,725,1.000
42237,1.82,19.70,"1000
",1300,702,1.000
42238,1.50,20.90,"1000
",1304,724,1.000
42239,1.37,17.80,"1000
",1300,714,1.000
42240,1.27,17.60,"1000
",1301,723,1.000
42241,1.15,15.70,"1000
",1302,723,1.000
42242,1.09,14.90,"1000
",1301,624,0.000
42243,1.05,14.80,"1000
",1302,604,1.000
42244,1.02,15.00,"1000
",1300,576,1.000
42245,0.99,19.60,"1000
",1301,552,1.000
42246,3.65,29.90,"1000
",814,524,1.000
41014,,5.40,"1000
",243,243,0.000
41015,,6.93,"1000
",255,255,0.000
41047,,273000.00,"1000
",,,0.000
41048,,273000.00,"1000
",,,0.000
41049,,274000.00,"1000
",,,0.000
41064,,12.40,"1000
",222,222,
41065,,9.27,"1000
",0,0,0.000
41066,,9.54,"1000
",0,0,0.000
41067,,10.20,"1000
",0,0,0.000
41068,,15.60,"1000
",0,0,0.000
41069,,16.50,"1000
",0,0,0.000
41070,,19.50,"1000
",801,523,
41071,,21.30,"1000
",821,509,
41072,,20.80,"1000
",255,255,0.000
41073,,17.70,"1000
",249,249,0.000
41074,,12.10,"1000
",230,230,0.000
41075,,14.00,"1000
",824,522,1.000
41076,,15.30,"1000
",826,520,1.000
41077,,27.60,"1000
",800,523,1.000
41078,,37.30,"1000
",241,241,
41079,,21.70,"1000
",225,225,0.000
41080,,2.28,"
",0,0,
41081,,53.30,"0
",600,404,0.000
41082,,29.20,"1000
",815,507,1.000
41083,,16.60,"0
",909,514,1.000
41084,,22.30,"1000
",824,524,1.000
41085,,20.30,"1000
",814,513,1.000
41086,,6.43,"0
",922,527,1.000
41087,,6.22,"1500
",914,523,0.000
41088,,6.21,"500
",923,527,1.000
41089,,3.52,"500
",906,508,0.000
41090,,11.00,"500
",912,521,1.000
41091,,28.90,"1000
",824,521,1.000
41092,,8.12,"1000
",812,504,1.000
41093,,5.63,"1000
",829,522,1.000
41094,,7.14,"0
",925,411,1.000
41095,,7.65,"0
",918,602,1.000
41096,,5.18,"0
",926,414,1.000
41097,,9140.00,"1000
",247,247,0.000
41098,,47.40,"1000
",813,531,0.000
41099,,30.00,"1000
",700,517,1.000
41100,,33.70,"1000
",818,506,1.000
41101,,25.80,"1000
",0,0,0.000
41102,,31.60,"1000
",0,0,0.000
41103,,34.30,"1000
",817,467,1.000
41104,,22.80,"1000
",0,0,0.000
41105,,11.20,"1000
",0,0,0.000
41106,,14.50,"1000
",0,0,0.000
41107,,23.10,"1000
",0,0,0.000
41108,,23.00,"1000
",0,0,0.000
41109,,19.00,"1000
",0,0,0.000
41110,,15.50,"1000
",,,0.000
41111,,3230.00,"1000
",0,0,0.000
41112,,7430.00,"1000
",0,0,0.000
41113,,8190.00,"1000
",0,0,0.000
41114,,8510.00,"1000
",0,0,0.000
41115,,3.16,"1000
",810,522,0.000
41116,,2.55,"1000
",242,242,0.000
41117,,13.00,"1000
",236,236,1.000
41137,,214000.00,"1
",,,
41162,,1.98,"1
",,,
41348,,1.79,"1
",,,
40548,,,"1000
",225,225,0.000
40776,,,,,,0.000
40777,,,,,,0.000
40778,,,,,,0.000
40779,,,,,,0.000
40780,,,,,,0.000
40781,,,,,,0.000
40782,,,,,,0.000
40783,,,,,,0.000
40784,,,,,,0.000
40785,,,,,,0.000
40786,,,,,,0.000
40787,,,,,,0.000
40788,,,,,,0.000
40789,,,,,,1.000
40790,,,,,,1.000
40791,,,,,,0.000
40792,,,,,,0.000
40793,,,,,,0.000
40794,,,,,,1.000
41650,,,,,,0.000
